time,workload,config_id
1.46,svg-medium,89
0.61,svg-small,89
2.73,jpeg-large,90
1.55,jpeg-medium,90
0.41,jpeg-small,90
2.16,png-large,90
0.61,png-medium,90
0.42,png-small,90
39.25,psd-large,90
1.27,psd-medium,90
0.51,psd-small,90
1.48,svg-large,90
1.55,svg-medium,90
0.52,svg-small,90
2.28,jpeg-large,91
1.33,jpeg-medium,91
0.41,jpeg-small,91
1.89,png-large,91
0.53,png-medium,91
0.43,png-small,91
24.06,psd-large,91
1.17,psd-medium,91
0.53,psd-small,91
1.53,svg-large,91
1.55,svg-medium,91
0.53,svg-small,91
3.0,jpeg-large,92
1.6,jpeg-medium,92
0.44,jpeg-small,92
2.18,png-large,92
0.65,png-medium,92
0.45,png-small,92
24.25,psd-large,92
1.3,psd-medium,92
0.57,psd-small,92
1.58,svg-large,92
1.59,svg-medium,92
0.59,svg-small,92
1.92,jpeg-large,93
1.13,jpeg-medium,93
0.4,jpeg-small,93
1.64,png-large,93
0.52,png-medium,93
0.39,png-small,93
16.29,psd-large,93
1.05,psd-medium,93
0.49,psd-small,93
1.5,svg-large,93
1.49,svg-medium,93
0.52,svg-small,93
2.46,jpeg-large,94
1.51,jpeg-medium,94
0.39,jpeg-small,94
1.99,png-large,94
0.56,png-medium,94
0.41,png-small,94
31.61,psd-large,94
1.21,psd-medium,94
0.53,psd-small,94
1.53,svg-large,94
1.53,svg-medium,94
0.61,svg-small,94
2.21,jpeg-large,95
1.29,jpeg-medium,95
0.4,jpeg-small,95
1.8,png-large,95
0.61,png-medium,95
0.44,png-small,95
17.51,psd-large,95
1.12,psd-medium,95
0.56,psd-small,95
1.54,svg-large,95
1.55,svg-medium,95
0.56,svg-small,95
3.69,jpeg-large,96
1.98,jpeg-medium,96
0.43,jpeg-small,96
2.51,png-large,96
0.67,png-medium,96
0.41,png-small,96
32.01,psd-large,96
1.28,psd-medium,96
0.58,psd-small,96
1.5,svg-large,96
1.51,svg-medium,96
0.6,svg-small,96
7.09,jpeg-large,97
3.39,jpeg-medium,97
0.49,jpeg-small,97
4.39,png-large,97
0.83,png-medium,97
0.51,png-small,97
55.57,psd-large,97
1.94,psd-medium,97
0.64,psd-small,97
1.49,svg-large,97
1.6,svg-medium,97
0.65,svg-small,97
2.39,jpeg-large,98
1.4,jpeg-medium,98
0.38,jpeg-small,98
1.89,png-large,98
0.58,png-medium,98
0.41,png-small,98
16.41,psd-large,98
1.08,psd-medium,98
0.5,psd-small,98
1.53,svg-large,98
1.47,svg-medium,98
0.59,svg-small,98
2.45,jpeg-large,99
1.43,jpeg-medium,99
0.5,jpeg-small,99
1.9,png-large,99
